distMean,outcome,pred,is_oddball
109.09855504952728,95.0,147.02275793362531,0.0
98.39066388044976,92.0,91.55282823938794,0.0
106.03839429397782,104.0,88.42720781870229,0.0
118.42975280717788,140.0,97.42986134775929,0.0
108.38625667543016,116.0,117.28899009758263,0.0
115.8745297401004,111.0,113.26900556635876,0.0
115.3686474319593,90.0,111.43617254930918,0.0
124.55557155961506,73.0,102.07211066735742,1.0
99.5437875324074,113.0,91.93840183441178,0.0
87.4061903297645,84.0,100.28586849959298,0.0
72.10566739469152,40.0,92.92422749551838,0.0
80.85971026591119,65.0,77.75639053333414,1.0
82.79863639752762,83.0,68.10835798316677,0.0
76.76483614261645,77.0,74.89479641536002,0.0
83.95889472106329,137.0,76.08903563238661,0.0
100.25955170669616,103.0,91.06495678007676,0.0
107.69234430459336,130.0,97.98588015361466,0.0
106.9692546596624,133.0,112.94378584011581,0.0
107.35961296205431,117.0,120.58760074329902,0.0
89.51919568829818,212.0,118.32190316036406,1.0
85.58674084619665,109.0,115.44094807032334,0.0
88.92287623465975,73.0,110.21934260774391,0.0
74.73893227048981,100.0,99.71139665542542,0.0
73.52644908181855,65.0,96.6958649218558,0.0
74.04109052011646,251.0,85.20387319074302,1.0
70.83749474461239,66.0,83.32680783866797,0.0
88.97356055507805,76.0,73.01195778539169,0.0
105.36950215715213,73.0,73.73993994489823,0.0
131.7384710820091,113.0,73.91353677273061,0.0
142.1350221731499,145.0,89.91663321462929,0.0
143.39807844044947,110.0,103.65885961116702,0.0
172.01076173993974,150.0,105.43827821549995,0.0
172.78389708764198,183.0,120.82399954493762,0.0
194.327307579482,230.0,134.9288926419505,0.0
194.65896434189327,197.0,132.90946573935415,0.0
179.807712611225,190.0,158.53952871126017,0.0
172.85028399634115,199.0,179.17208070186027,0.0
171.69681621346476,166.0,190.92653268895575,0.0
162.04028321063345,180.0,182.6345573534504,0.0
150.39640487515692,24.0,182.15204732476045,1.0
157.89112672768022,177.0,178.47273322044552,0.0
150.10112027956492,157.0,181.97037565078074,0.0
155.86058807063662,171.0,169.36865565262556,0.0
184.391835603937,181.0,172.27768015116794,0.0
192.390640555114,234.0,178.01475670294747,0.0
183.2914036393609,263.0,194.12867927125896,1.0
187.632988474832,177.0,207.4642195507392,0.0
