distMean,outcome,pred,is_oddball,rule
194.9758583590683,196,187.4000000000008,0,-1
194.5370155884181,190,182.9000000000008,0,-1
198.0519230175399,166,188.9000000000008,0,-1
197.85190677061044,199,167.90000000000066,0,-1
201.4168932102569,199,197.90000000000083,1,-1
201.81937734411247,187,197.90000000000083,0,-1
171.5288228058291,195,185.9000000000008,0,-1
167.28905059023867,155,194.9000000000008,0,-1
155.39370652592316,134,155.90000000000057,0,-1
135.10575776909442,136,138.6500000000005,0,-1
146.21819660865384,80,135.65000000000046,1,-1
131.68739314916996,122,80.15000000000015,0,-1
127.62628327809244,129,122.1500000000004,0,-1
114.50086012524876,112,127.40000000000042,0,-1
114.76141139952706,115,113.90000000000036,0,-1
109.16498781476864,94,113.90000000000036,0,-1
101.09990557210324,112,95.90000000000023,0,-1
100.91729830195504,91,110.15000000000032,0,-1
99.521027016436,358,92.15000000000022,1,-1
100.65636878860086,124,0.6500000000000912,0,-1
93.0793059995392,125,0.6500000000000912,0,-1
76.60533163167571,95,122.9000000000004,0,-1
68.86515179861699,91,101.15000000000028,0,-1
76.00641857590894,80,101.15000000000028,0,-1
62.61909249308154,84,81.65000000000016,0,-1
42.3400086657812,63,82.40000000000016,0,-1
43.72019472454727,43,65.15000000000006,0,-1
34.73970044604249,40,44.90000000000006,0,-1
39.988611606574864,24,40.40000000000008,0,-1
330.612256183609,318,24.75000000000001,0,-1
337.4550061416393,355,319.4999999999998,0,-1
341.3306927328188,296,350.99999999999994,1,-1
354.7186864471301,335,298.49999999999966,0,-1
10.3718265349396,11,330.74999999999983,0,-1
359.0828955050848,355,8.25,0,-1
359.8628852746235,354,354.74999999999994,0,-1
10.348931797697304,27,354.74999999999994,0,-1
10.25437574313824,34,22.500000000000007,0,-1
10.171016993692746,314,33.75,1,-1
22.70151203580926,31,313.4999999999997,0,-1
15.923767801130566,48,313.4999999999997,0,-1
12.171238861868062,357,47.24999999999996,0,-1
29.677578372053773,123,47.24999999999996,1,-1
20.0079651627874,33,123.00000000000028,0,-1
26.96277014748938,82,35.99999999999998,0,-1
25.38833369660537,37,79.50000000000004,0,-1
355.6202466032866,15,44.24999999999996,0,-1
348.12575135126554,355,18.749999999999982,0,-1
351.1762284612728,338,358.5,0,-1
339.58725178721966,342,337.4999999999999,0,-1
346.57163168126704,331,341.9999999999999,0,-1
335.6808725803646,348,329.24999999999983,0,-1
322.95441295202335,309,346.49999999999994,0,-1
328.7549200115634,343,313.4999999999997,0,-1
323.02396661367146,309,341.2499999999999,0,-1
312.950673071374,332,307.4999999999997,0,-1
306.39288120848533,295,307.4999999999997,0,-1
307.76157544008163,315,307.4999999999997,0,-1
295.2332214144509,304,307.4999999999997,0,-1
297.5910642927275,284,307.4999999999997,0,-1
293.9598182365694,312,307.4999999999997,0,-1
304.2153824655041,293,307.4999999999997,0,-1
313.6580807439488,314,307.4999999999997,0,-1
313.6619335188757,311,307.4999999999997,0,-1
308.7555431691157,322,307.4999999999997,0,-1
317.4562729640998,335,307.4999999999997,0,-1
316.8325949369629,357,307.4999999999997,0,-1
300.0049711245982,316,355.49999999999994,0,-1
296.66413432802176,305,319.4999999999998,0,-1
309.1868514424068,281,303.74999999999966,0,-1
317.1003745313939,302,285.7499999999996,0,-1
320.9667416120693,343,299.99999999999966,0,-1
324.7615266907477,324,341.9999999999999,0,-1
322.48765150036866,319,326.99999999999983,0,-1
296.11738733906185,239,317.2499999999998,1,-1
306.96831159896874,284,317.2499999999998,0,-1
299.0836744409273,261,287.2499999999996,0,-1
299.14177581265096,288,262.49999999999943,0,-1
307.6037893908333,259,287.9999999999996,0,-1
323.4023536222178,315,260.24999999999943,0,-1
332.7983534336183,329,311.2499999999997,0,-1
331.7149467560367,220,326.99999999999983,1,-1
335.49244069874624,343,219.7499999999992,0,-1
328.44283020951593,317,344.9999999999999,0,-1
318.0609901469562,318,318.7499999999998,0,-1
314.6843552976733,307,317.2499999999998,0,-1
321.9668888116738,329,307.4999999999997,0,-1
313.0841864577966,219,328.49999999999983,1,-1
318.5346077496008,344,220.4999999999992,0,-1
93,111,4.500000000000001,-1.0,1
93,85,109.50000000000024,-1.0,1
93,118,109.50000000000024,-1.0,1
93,93,103.50000000000018,-1.0,1
93,98,103.50000000000018,-1.0,1
93,102,103.50000000000018,-1.0,1
93,115,103.50000000000018,-1.0,1
210,202,111.00000000000024,-1.0,1
210,196,200.2500000000007,-1.0,1
210,201,197.2500000000007,-1.0,1
210,225,203.2500000000008,-1.0,1
210,212,224.25000000000085,-1.0,1
210,253,212.2500000000008,-1.0,1
210,205,252.75000000000105,-1.0,1
200,185,205.5000000000008,-1.0,1
200,190,188.25000000000065,-1.0,1
200,190,188.25000000000065,-1.0,1
200,217,188.25000000000065,-1.0,1
200,199,213.7500000000008,-1.0,1
200,194,200.2500000000007,-1.0,1
200,177,197.2500000000007,-1.0,1
200,178,177.0000000000006,-1.0,1
200,227,177.0000000000006,-1.0,1
200,212,221.25000000000085,-1.0,1
251,261,212.2500000000008,-1.0,1
251,257,258.750000000001,-1.0,1
251,244,257.250000000001,-1.0,1
251,266,250.500000000001,-1.0,1
105,99,267.0000000000011,-1.0,1
105,111,267.0000000000011,-1.0,1
105,128,108.7500000000002,-1.0,1
105,106,123.00000000000028,-1.0,1
221,252,107.2500000000002,-1.0,1
221,209,252.00000000000105,-1.0,1
221,232,210.7500000000008,-1.0,1
221,235,228.00000000000088,-1.0,1
221,219,233.2500000000009,-1.0,1
221,217,219.0000000000008,-1.0,1
221,230,216.7500000000008,-1.0,1
221,232,229.50000000000088,-1.0,1
221,238,229.50000000000088,-1.0,1
221,214,218.2500000000008,-1.0,1
95,102,218.2500000000008,-1.0,1
95,71,102.00000000000016,-1.0,1
95,79,78.00000000000003,-1.0,1
95,92,77.40000000000006,-1.0,1
95,81,92.40000000000016,-1.0,1
315,329,82.15000000000053,-1.0,1
315,287,332.24999999999983,-1.0,1
315,301,287.2499999999996,-1.0,1
315,305,302.24999999999966,-1.0,1
315,341,302.24999999999966,-1.0,1
268,236,339.7499999999999,-1.0,1
268,278,339.7499999999999,-1.0,1
268,297,278.24999999999955,-1.0,1
268,283,296.24999999999966,-1.0,1
268,286,284.24999999999955,-1.0,1
206,221,284.24999999999955,-1.0,1
206,180,222.74999999999923,-1.0,1
206,215,182.999999999999,-1.0,1
124,132,0.0,-1.0,1
124,119,0.0,-1.0,1
124,104,120.75000000000028,-1.0,1
124,122,103.50000000000016,-1.0,1
124,140,111.0000000000002,-1.0,1
139,128,141.0000000000004,-1.0,1
139,162,128.2500000000003,-1.0,1
139,179,161.2500000000005,-1.0,1
139,143,161.2500000000005,-1.0,1
139,142,144.7500000000004,-1.0,1
325,318,142.5000000000004,-1.0,1
325,319,320.2499999999998,-1.0,1
325,293,320.2499999999998,-1.0,1
325,359,296.99999999999966,-1.0,1
325,340,357.0,-1.0,1
325,317,341.2499999999999,-1.0,1
325,295,321.7499999999998,-1.0,1
325,324,298.49999999999966,-1.0,1
328,332,314.9999999999997,-1.0,1
328,297,332.99999999999983,-1.0,1
328,334,301.49999999999966,-1.0,1
328,344,336.7499999999999,-1.0,1
328,338,344.2499999999999,-1.0,1
328,328,344.2499999999999,-1.0,1
328,307,329.24999999999983,-1.0,1
37,39,312.7499999999997,-1.0,1
37,30,38.24999999999999,-1.0,1
37,93,31.500000000000007,-1.0,1
37,45,90.00000000000011,-1.0,1
37,43,50.99999999999995,-1.0,1
37,57,40.49999999999998,-1.0,1
37,16,40.49999999999998,-1.0,1
37,51,40.49999999999998,-1.0,1
37,22,40.49999999999998,-1.0,1
37,43,27.75000000000001,-1.0,1
37,28,40.49999999999998,-1.0,1
37,17,40.49999999999998,-1.0,1
37,36,21.0,-1.0,1
37,47,21.0,-1.0,1
37,29,41.99999999999998,-1.0,1
72,56,41.99999999999998,-1.0,1
72,70,41.99999999999998,-1.0,1
72,63,65.99999999999997,-1.0,1
72,63,63.749999999999964,-1.0,1
341,345,63.749999999999964,-1.0,1
341,4,345.7499999999999,-1.0,1
341,350,1.5,-1.0,1
341,325,1.5,-1.0,1
341,338,327.74999999999983,-1.0,1
341,323,336.7499999999999,-1.0,1
341,334,323.2499999999998,-1.0,1
341,306,332.24999999999983,-1.0,1
341,326,309.7499999999997,-1.0,1
341,332,322.4999999999998,-1.0,1
341,317,329.24999999999983,-1.0,1
341,353,317.9999999999998,-1.0,1
341,342,351.74999999999994,-1.0,1
341,358,343.4999999999999,-1.0,1
341,349,357.75,-1.0,1
341,3,348.74999999999994,-1.0,1
27,37,16.499999999999996,-1.0,1
27,44,34.5,-1.0,1
27,16,34.5,-1.0,1
27,35,34.5,-1.0,1
27,51,33.0,-1.0,1
27,36,38.99999999999999,-1.0,1
27,14,38.99999999999999,-1.0,1
27,34,17.249999999999996,-1.0,1
27,50,32.25,-1.0,1
27,4,47.24999999999996,-1.0,1
27,42,6.749999999999997,-1.0,1
211,180,39.74999999999998,-1.0,1
211,210,180.0000000000006,-1.0,1
211,214,209.2500000000008,-1.0,1
211,216,214.5000000000008,-1.0,1
211,199,214.5000000000008,-1.0,1
211,201,201.0000000000008,-1.0,1
211,195,203.2500000000008,-1.0,1
211,183,203.2500000000008,-1.0,1
211,204,181.50000000000065,-1.0,1
133,131,181.50000000000065,-1.0,1
133,119,130.50000000000034,-1.0,1
133,108,120.00000000000028,-1.0,1
133,126,120.00000000000028,-1.0,1
133,128,117.00000000000026,-1.0,1
133,164,117.00000000000026,-1.0,1
118,111,163.5000000000005,-1.0,1
118,165,112.50000000000024,-1.0,1
118,137,163.5000000000005,-1.0,1
118,108,140.25000000000037,-1.0,1
90,107,108.7500000000002,-1.0,1
90,101,108.7500000000002,-1.0,1
90,93,104.25000000000018,-1.0,1
90,76,93.75000000000011,-1.0,1
168,191,80.25000000000004,-1.0,1
168,177,192.00000000000068,-1.0,1
168,142,192.00000000000068,-1.0,1
168,159,141.0000000000004,-1.0,1
168,176,158.25000000000048,-1.0,1
168,150,176.1500000000007,-1.0,1
168,156,153.65000000000057,-1.0,1
168,153,153.65000000000057,-1.0,1
168,166,153.65000000000057,-1.0,1
168,155,153.65000000000057,-1.0,1
168,164,153.65000000000057,-1.0,1
168,171,153.65000000000057,-1.0,1
168,192,153.65000000000057,-1.0,1
270,300,134.15000000000046,-1.0,1
270,266,134.15000000000046,-1.0,1
270,258,267.6500000000012,-1.0,1
270,242,267.6500000000012,-1.0,1
270,279,267.6500000000012,-1.0,1
270,271,257.1500000000012,-1.0,1
270,267,257.1500000000012,-1.0,1
270,250,257.1500000000012,-1.0,1
351,360,257.1500000000012,-1.0,1
351,22,358.40000000000174,-1.0,1
351,11,13.499999999999996,-1.0,1
351,13,10.499999999999998,-1.0,1
351,12,13.499999999999996,-1.0,1
209,228,6.750000000000002,-1.0,1
209,208,227.9999999999993,-1.0,1
209,226,212.24999999999915,-1.0,1
209,198,225.74999999999923,-1.0,1
209,241,197.9999999999991,-1.0,1
209,210,244.4999999999993,-1.0,1
77,43,209.24999999999915,-1.0,1
77,25,44.999999999999964,-1.0,1
77,82,27.00000000000001,-1.0,1
77,86,78.75000000000004,-1.0,1
45,57,84.00000000000009,-1.0,1
45,49,69.0,-1.0,1
45,40,52.49999999999994,-1.0,1
45,67,40.49999999999998,-1.0,1
45,48,40.49999999999998,-1.0,1
45,30,40.49999999999998,-1.0,1
45,80,40.49999999999998,-1.0,1
45,72,40.49999999999998,-1.0,1
247,264,71.25,-1.0,1
247,225,266.2499999999995,-1.0,1
247,252,221.2499999999992,-1.0,1
247,267,254.2499999999994,-1.0,1
247,268,268.4999999999995,-1.0,1
247,252,267.7499999999995,-1.0,1
247,258,254.2499999999994,-1.0,1
247,234,257.99999999999943,-1.0,1
207,186,239.9999999999993,-1.0,1
207,193,191.24999999999903,-1.0,1
207,201,178.49999999999898,-1.0,1
207,179,200.9999999999991,-1.0,1
207,181,175.49999999999895,-1.0,1
10,358,175.49999999999895,-1.0,1
10,4,175.49999999999895,-1.0,1
10,29,3.0,-1.0,1
10,352,3.0,-1.0,1
207,211,3.0,-1.0,1
207,182,215.2499999999992,-1.0,1
207,200,183.749999999999,-1.0,1
207,177,199.4999999999991,-1.0,1
207,198,199.4999999999991,-1.0,1
207,193,199.4999999999991,-1.0,1
207,238,199.4999999999991,-1.0,1
56,52,199.4999999999991,-1.0,1
56,17,48.74999999999996,-1.0,1
56,44,18.75,-1.0,1
56,28,18.75,-1.0,1
56,77,18.75,-1.0,1
56,46,73.50000000000001,-1.0,1
56,67,73.50000000000001,-1.0,1
56,46,73.50000000000001,-1.0,1
25,27,49.49999999999996,-1.0,1
25,15,33.75,-1.0,1
25,34,16.499999999999993,-1.0,1
25,354,33.75,-1.0,1
25,32,-4.174478019420866e-15,-1.0,1
25,12,33.75,-1.0,1
25,19,14.999999999999991,-1.0,1
25,42,14.999999999999991,-1.0,1
25,36,40.49999999999998,-1.0,1
25,55,35.99999999999999,-1.0,1
